Date : 2024-09-05 18:23:54
Directory : r:\Code\Javascript\Nextjs\foodica
Total : 176 files,  17140 codes, 78 comments, 882 blanks, all 18100 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |      8,492 |          0 |          3 |      8,495 |
| TypeScript JSX     |        120 |      5,974 |         38 |        551 |      6,563 |
| TypeScript         |         36 |      2,069 |         17 |        222 |      2,308 |
| CSS                |         11 |        521 |         23 |         89 |        633 |
| JSON with Comments |          1 |         34 |          0 |          1 |         35 |
| JavaScript         |          2 |         27 |          0 |          2 |         29 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        176 |     17,140 |         78 |        882 |     18,100 |
| . (Files)                                                                                                    |          8 |      8,593 |          0 |         24 |      8,617 |
| db                                                                                                           |          2 |          2 |          0 |          0 |          2 |
| src                                                                                                          |        166 |      8,545 |         78 |        858 |      9,481 |
| src\app                                                                                                      |         20 |        122 |          0 |         42 |        164 |
| src\app (Files)                                                                                              |          1 |          2 |          0 |          2 |          4 |
| src\app\api                                                                                                  |          3 |         88 |          0 |         12 |        100 |
| src\app\api\auth                                                                                             |          2 |         86 |          0 |          9 |         95 |
| src\app\api\auth\[...nextauth]                                                                               |          2 |         86 |          0 |          9 |         95 |
| src\app\api\edgestore                                                                                        |          1 |          2 |          0 |          3 |          5 |
| src\app\api\edgestore\[...edgestore]                                                                         |          1 |          2 |          0 |          3 |          5 |
| src\app\authors                                                                                              |          2 |          4 |          0 |          3 |          7 |
| src\app\authors\[authorName]                                                                                 |          2 |          4 |          0 |          3 |          7 |
| src\app\blogs                                                                                                |         11 |         22 |          0 |         21 |         43 |
| src\app\blogs (Files)                                                                                        |          3 |          6 |          0 |          6 |         12 |
| src\app\blogs\[year]                                                                                         |          8 |         16 |          0 |         15 |         31 |
| src\app\blogs\[year] (Files)                                                                                 |          2 |          4 |          0 |          4 |          8 |
| src\app\blogs\[year]\[month]                                                                                 |          6 |         12 |          0 |         11 |         23 |
| src\app\blogs\[year]\[month] (Files)                                                                         |          2 |          4 |          0 |          3 |          7 |
| src\app\blogs\[year]\[month]\[day]                                                                           |          4 |          8 |          0 |          8 |         16 |
| src\app\blogs\[year]\[month]\[day] (Files)                                                                   |          2 |          4 |          0 |          4 |          8 |
| src\app\blogs\[year]\[month]\[day]\[blogName]                                                                |          2 |          4 |          0 |          4 |          8 |
| src\app\create-blog                                                                                          |          2 |          4 |          0 |          3 |          7 |
| src\app\register                                                                                             |          1 |          2 |          0 |          1 |          3 |
| src\client-utils                                                                                             |          1 |         22 |          0 |          4 |         26 |
| src\components                                                                                               |         93 |      6,188 |         38 |        525 |      6,751 |
| src\components (Files)                                                                                       |         23 |      1,522 |         23 |        108 |      1,653 |
| src\components\BlogForm                                                                                      |         14 |      1,258 |          1 |         91 |      1,350 |
| src\components\BlogForm (Files)                                                                              |          7 |        762 |          1 |         42 |        805 |
| src\components\BlogForm\hooks                                                                                |          7 |        496 |          0 |         49 |        545 |
| src\components\BlogPostPage                                                                                  |         22 |      1,717 |          4 |        162 |      1,883 |
| src\components\BlogPostPage\BlogPost                                                                         |         16 |      1,287 |          1 |        127 |      1,415 |
| src\components\BlogPostPage\RecipeCard                                                                       |          6 |        430 |          3 |         35 |        468 |
| src\components\Bloglist                                                                                      |          8 |        287 |          0 |         31 |        318 |
